Latitude,Longitude
3.0852298,101.664192
3.0868993,101.6630267
3.0871142,101.6637312
3.0872775,101.6629324
3.0874053,101.6633124
3.0813898,101.6763703
3.0831024,101.6712569
3.0831139,101.6715655
3.0832219,101.6714711
3.0842121,101.6711408
3.0843708,101.671417
3.0859558,101.6730748
3.0911612,101.6686
3.0970627,101.675519
3.0966824,101.6766435
3.0969933,101.6777137
3.0894591,101.6892642
3.091128,101.6869932
3.0905305,101.6894302
3.0979235,101.6792199
3.1067175,101.6657746
3.098594,101.6794974
3.0987104,101.6795392
3.0993409,101.6797843
3.0996698,101.6868553
3.1000748,101.6868785
3.1003685,101.6871439
3.100636,101.6868839
3.1022213,101.6846821
3.1106657,101.6846893
3.1107068,101.6863674
3.1240211,101.6535401
3.1396876,101.6573994
3.1401482,101.6576488
3.1216125,101.6695212
3.1225022,101.6711018
3.1226306,101.6709369
3.1241165,101.6738328
3.1237171,101.6749223
3.124253,101.6743843
3.1275305,101.6694583
3.1279434,101.6688896
3.1283474,101.6706374
3.1285993,101.6695732
3.1284925,101.6699188
3.1284018,101.670535
3.129561,101.6710593
3.1301633,101.6705928
3.1302822,101.6705881
3.1303987,101.6705971
3.1305674,101.6705948
3.1308424,101.6705842
3.1309639,101.6706614
3.1309527,101.6709242
3.1310765,101.6709678
3.1275954,101.6742163
3.1270278,101.6755806
3.12626,101.6777265
3.1277111,101.6777899
3.128871,101.6741795
3.1284077,101.6745582
3.1276398,101.6811052
3.1276099,101.6826604
3.1286134,101.6793933
3.1294429,101.6796249
3.1299416,101.6824938
3.1278876,101.6868132
3.1276797,101.6874566
3.1277159,101.6875855
3.1289192,101.6841981
3.1294907,101.6844187
3.1310459,101.6859131
3.1306996,101.6866722
3.1310062,101.6864088
3.1312567,101.6706771
3.131504,101.6709459
3.1315095,101.6711852
3.1317783,101.6711974
3.1322669,101.6706746
3.1323497,101.6710427
3.1324542,101.6712131
3.1314706,101.6716151
3.1315668,101.6718402
3.1316887,101.6718258
3.1319439,101.6718339
3.1321639,101.6718277
3.1323248,101.6716313
3.1324479,101.6716266
3.13237,101.6722478
3.1327547,101.6706352
3.1330799,101.6705634
3.1330156,101.6706824
3.1325507,101.6710104
3.1327332,101.6709996
3.1327019,101.6712539
3.1329728,101.6710472
3.1329835,101.6712323
3.1330092,101.6709377
3.1327371,101.6716266
3.1331157,101.6721379
3.1326814,101.6723071
3.1345197,101.6723107
3.13248,101.6731505
3.1373094,101.6731037
3.1318822,101.6863851
3.1329651,101.6860698
3.1318459,101.6868121
3.1321887,101.6871524
3.1318309,101.6875793
3.1318484,101.6876323
3.1318837,101.6876896
3.1317956,101.6878915
3.1322496,101.6880453
3.1320949,101.6882079
3.1324333,101.688529
3.1329976,101.6888783
3.1334483,101.688517
3.1335429,101.688761
3.1352656,101.6857595
3.1399551,101.6809567
3.1409386,101.6889136
3.1422692,101.6668128
3.1496178,101.6615059
3.1507958,101.6611743
3.1517072,101.6666856
3.1423929,101.6689238
3.1422714,101.6697419
3.1426614,101.6701196
3.152772,101.6760931
3.1478175,101.6868997
3.083952,101.6905534
3.0911215,101.6894603
3.0915971,101.6899217
3.0915446,101.6902182
3.0929583,101.7005444
3.0936623,101.7008605
3.0962879,101.7136676
3.0944215,101.7245956
3.101164,101.7074947
3.1016211,101.7079279
3.1029447,101.7060709
3.1027838,101.7087171
3.1160414,101.7099938
3.0999871,101.7123009
3.1004648,101.7151324
3.1011853,101.7125295
3.1014344,101.7126529
3.1021102,101.7129527
3.1024055,101.7132382
3.1088136,101.7382997
3.1134988,101.7401166
3.1197247,101.7628374
3.1236134,101.7091408
3.1254498,101.7102811
3.1327258,101.6897228
3.1334787,101.6897205
3.1332693,101.6899248
3.1332597,101.6899372
3.1335081,101.6902189
3.1339617,101.6906715
3.1353272,101.6911812
3.1360309,101.6913012
3.1385629,101.6920636
3.1378164,101.6970693
3.1383102,101.6993862
3.1413357,101.6972293
3.1413913,101.6972104
3.1415318,101.6971686
3.141859,101.6972134
3.1410968,101.6981026
3.1418089,101.6980294
3.1337829,101.7111038
3.1374394,101.710659
3.1388112,101.7099297
3.1233742,101.7204081
3.1289794,101.714899
3.1271472,101.7305214
3.1275777,101.732369
3.1296902,101.7315999
3.1287535,101.7322274
3.1299836,101.731953
3.1302968,101.7317634
3.1299056,101.7324415
3.1314774,101.7123555
3.1330314,101.7163962
3.1357068,101.7124044
3.136028,101.7121799
3.1391385,101.7120132
3.1381261,101.7143677
3.1347561,101.7228322
3.1379983,101.7254519
3.1467325,101.6940202
3.1427511,101.6967796
3.1424522,101.6972651
3.1427881,101.6964226
3.1431872,101.6964614
3.1435081,101.6957975
3.1437503,101.6958117
3.1438762,101.6956931
3.143921,101.6958228
3.1435776,101.6976129
3.1445991,101.69648
3.1446569,101.6964833
3.1448322,101.6966999
3.1443438,101.6975354
3.1422553,101.6978172
3.1429337,101.6987169
3.1432133,101.698531
3.1436678,101.6984952
3.1434933,101.6987382
3.1440516,101.6985053
3.1444914,101.6981786
3.144357,101.6984414
3.1445327,101.6984596
3.1454428,101.6954569
3.1450127,101.69586
3.1453058,101.6959137
3.1451051,101.6968698
3.1468849,101.6954502
3.1465341,101.6960155
3.1469498,101.6962363
3.1474576,101.6960954
3.1469764,101.6966616
3.1473832,101.6965505
3.1451552,101.6986621
3.1475625,101.6979744
3.1503477,101.6922612
3.1480038,101.6971161
3.1481039,101.6974265
3.1488135,101.6968027
3.1484487,101.6974721
3.148914,101.6973137
3.1486786,101.6979003
3.1489563,101.697857
3.1490546,101.6979838
3.1494391,101.6982868
3.1438394,101.7042101
3.1459154,101.7017233
3.1459023,101.7022372
3.1456768,101.7029288
3.1456587,101.7029881
3.1466915,101.7008713
3.1468907,101.7009536
3.1468014,101.7010946
3.1463515,101.7013542
3.1454339,101.7039978
3.1432705,101.7076608
3.1426205,101.7100268
3.1434053,101.7092329
3.142551,101.7109355
3.1454625,101.7069611
3.1453756,101.706985
3.1456723,101.7069183
3.1458422,101.7075163
3.146273,101.7080898
3.1466107,101.7086502
3.1470766,101.708392
3.1472725,101.7086619
